JuncType	Event_ID	Event_Group	GeneID	geneSymbol	Gene_Event_ID	DSE_Category	Control	shRING1A.B	shRYBP
JC	Event_1	Alternative 5' Splice Site	ENSG00000185917	SETD4	1	Common to shRING1A.B and shRYBP	36	31	23
JC	Event_10	Alternative 5' Splice Site	ENSG00000167460	TPM4	1		59	62	26
JC	Event_100	Alternative 5' Splice Site	ENSG00000141013	GAS8	1	Unique to shRYBP vs Control	190		162
JC	Event_1000	Mutually Exclusive Exon	ENSG00000115977	AAK1	1	Same Direction	31	23	19
JC	Event_1001	Mutually Exclusive Exon	ENSG00000131061	ZNF341	1	Unique to shRING1A.B vs Control	53	43	
JC	Event_1002	Mutually Exclusive Exon	ENSG00000283761	AC118553.2	1	Unique to shRING1A.B vs Control	79	81	
JC	Event_1003	Mutually Exclusive Exon	ENSG00000148737	TCF7L2	1	Unique to shRING1A.B vs Control	76	154	
JC	Event_1004	Mutually Exclusive Exon	ENSG00000182551	ADI1	1	Unique to shRING1A.B vs Control	2139	2274	
JC	Event_1005	Mutually Exclusive Exon	ENSG00000137075	RNF38	1	Unique to shRING1A.B vs Control	66	85	
JC	Event_1006	Mutually Exclusive Exon	ENSG00000002822	MAD1L1	1	Same Direction	385	573	477
JC	Event_1007	Mutually Exclusive Exon	ENSG00000204764	RANBP17	1	Unique to shRING1A.B vs Control	46	33	
JC	Event_1009	Mutually Exclusive Exon	ENSG00000168385	SEPT2	1	Unique to shRING1A.B vs Control	23	43	
JC	Event_101	Alternative 5' Splice Site	ENSG00000123240	OPTN	1	Common to shRING1A.B and shRYBP	108	178	118
JC	Event_1010	Mutually Exclusive Exon	ENSG00000168385	SEPT2	2	Same Direction	89	124	84
JC	Event_1011	Mutually Exclusive Exon	ENSG00000172888	ZNF621	1	Same Direction	69	68	48
JC	Event_1012	Mutually Exclusive Exon	ENSG00000173402	DAG1	1	Unique to shRING1A.B vs Control	20	31	
JC	Event_1013	Mutually Exclusive Exon	ENSG00000175600	SUGCT	1	Unique to shRING1A.B vs Control	118	125	
JC	Event_1014	Mutually Exclusive Exon	ENSG00000161010	MRNIP	1	Unique to shRING1A.B vs Control	90	119	
JC	Event_1015	Mutually Exclusive Exon	ENSG00000125434	SLC25A35	1	Unique to shRING1A.B vs Control	12	8	
JC	Event_1016	Mutually Exclusive Exon	ENSG00000105865	DUS4L	1	Unique to shRING1A.B vs Control	266	229	
JC	Event_1017	Mutually Exclusive Exon	ENSG00000179818	PCBP1-AS1	1	Unique to shRING1A.B vs Control	8	7	
JC	Event_1018	Mutually Exclusive Exon	ENSG00000132554	RGS22	1	Unique to shRING1A.B vs Control	79	93	
JC	Event_1019	Mutually Exclusive Exon	ENSG00000126653	NSRP1	1	Unique to shRING1A.B vs Control	43	25	
JC	Event_102	Alternative 5' Splice Site	ENSG00000115970	THADA	1		136	122	66
JC	Event_1020	Mutually Exclusive Exon	ENSG00000148985	PGAP2	1	Unique to shRING1A.B vs Control	44	45	
JC	Event_1021	Mutually Exclusive Exon	ENSG00000188917	TRMT2B	1	Unique to shRING1A.B vs Control	71	112	
JC	Event_1022	Mutually Exclusive Exon	ENSG00000165675	ENOX2	1	Unique to shRING1A.B vs Control	179	84	
JC	Event_1023	Mutually Exclusive Exon	ENSG00000197467	COL13A1	1	Unique to shRING1A.B vs Control	36	16	
JC	Event_1024	Mutually Exclusive Exon	ENSG00000182986	ZNF320	1	Unique to shRING1A.B vs Control	31	26	
JC	Event_1025	Mutually Exclusive Exon	ENSG00000104408	EIF3E	1	Same Direction	26	37	23
JC	Event_1026	Mutually Exclusive Exon	ENSG00000254166	CASC19	1	Unique to shRING1A.B vs Control	14	30	
JC	Event_1027	Mutually Exclusive Exon	ENSG00000139697	SBNO1	1	Unique to shRING1A.B vs Control	271	400	
JC	Event_1028	Mutually Exclusive Exon	ENSG00000086848	ALG9	1	Unique to shRING1A.B vs Control	165	149	
JC	Event_1029	Mutually Exclusive Exon	ENSG00000134470	IL15RA	1	Unique to shRING1A.B vs Control	469	439	
JC	Event_103	Alternative 5' Splice Site	ENSG00000032444	PNPLA6	1		372	591	459
JC	Event_1030	Mutually Exclusive Exon	ENSG00000180198	RCC1	1	Unique to shRING1A.B vs Control	111	109	
JC	Event_1031	Mutually Exclusive Exon	ENSG00000188234	AGAP4	1	Unique to shRING1A.B vs Control	22	27	
JC	Event_1033	Mutually Exclusive Exon	ENSG00000028203	VEZT	1	Unique to shRING1A.B vs Control	31	9	
JC	Event_1034	Mutually Exclusive Exon	ENSG00000100239	PPP6R2	1			39	29
JC	Event_1035	Mutually Exclusive Exon	ENSG00000100031	GGT1	1			408	259
JC	Event_1037	Mutually Exclusive Exon	ENSG00000099785	MARCH2	1			296	174
JC	Event_104	Alternative 5' Splice Site	ENSG00000145349	CAMK2D	1	Common to shRING1A.B and shRYBP	99	104	84
JC	Event_1040	Mutually Exclusive Exon	ENSG00000262879	AC068152.1	1			59	40
JC	Event_1042	Mutually Exclusive Exon	ENSG00000102890	ELMO3	1			5	14
JC	Event_1043	Mutually Exclusive Exon	ENSG00000102858	MGRN1	1			1135	719
JC	Event_1044	Mutually Exclusive Exon	ENSG00000008517	IL32	1			1258	557
JC	Event_1045	Mutually Exclusive Exon	ENSG00000130731	METTL26	1			546	383
JC	Event_1046	Mutually Exclusive Exon	ENSG00000068305	MEF2A	1			185	140
JC	Event_1047	Mutually Exclusive Exon	ENSG00000182718	ANXA2	1			95	108
JC	Event_1048	Mutually Exclusive Exon	ENSG00000171469	ZNF561	1			97	101
JC	Event_1049	Mutually Exclusive Exon	ENSG00000162814	SPATA17	1			28	13
JC	Event_105	Alternative 5' Splice Site	ENSG00000178038	ALS2CL	1	Unique to shRYBP vs Control	9		43
JC	Event_1050	Mutually Exclusive Exon	ENSG00000137210	TMEM14B	1			136	167
JC	Event_1051	Mutually Exclusive Exon	ENSG00000006837	CDKL3	1			19	26
JC	Event_1052	Mutually Exclusive Exon	ENSG00000113558	SKP1	1			28	19
JC	Event_1053	Mutually Exclusive Exon	ENSG00000205464	ATP6AP1L	1			21	6
JC	Event_1054	Mutually Exclusive Exon	ENSG00000256061	DNAAF4	1			68	42
JC	Event_1055	Mutually Exclusive Exon	ENSG00000196935	SRGAP1	1			180	157
JC	Event_1056	Mutually Exclusive Exon	ENSG00000214063	TSPAN4	1			1374	909
JC	Event_1057	Mutually Exclusive Exon	ENSG00000164073	MFSD8	1			51	71
JC	Event_1058	Mutually Exclusive Exon	ENSG00000188452	CERKL	1			42	13
JC	Event_1059	Mutually Exclusive Exon	ENSG00000151726	ACSL1	1			113	182
JC	Event_106	Alternative 5' Splice Site	ENSG00000104728	ARHGEF10	1	Unique to shRYBP vs Control	135		95
JC	Event_1060	Mutually Exclusive Exon	ENSG00000080823	MOK	1			87	78
JC	Event_1061	Mutually Exclusive Exon	ENSG00000133731	IMPA1	1			179	193
JC	Event_1062	Mutually Exclusive Exon	ENSG00000154065	ANKRD29	1			112	73
JC	Event_1063	Mutually Exclusive Exon	ENSG00000164494	PDSS2	1			64	67
JC	Event_1064	Mutually Exclusive Exon	ENSG00000149476	TKFC	1			39	15
JC	Event_1065	Mutually Exclusive Exon	ENSG00000137393	RNF144B	1			163	109
JC	Event_1066	Mutually Exclusive Exon	ENSG00000144040	SFXN5	1			178	148
JC	Event_1067	Mutually Exclusive Exon	ENSG00000141556	TBCD	1			549	407
JC	Event_1068	Mutually Exclusive Exon	ENSG00000164509	IL31RA	1			89	87
JC	Event_1069	Mutually Exclusive Exon	ENSG00000165240	ATP7A	1			19	26
JC	Event_1070	Mutually Exclusive Exon	ENSG00000108443	RPS6KB1	1			461	382
JC	Event_1071	Mutually Exclusive Exon	ENSG00000138074	SLC5A6	1			188	163
JC	Event_1072	Mutually Exclusive Exon	ENSG00000109586	GALNT7	1			502	260
JC	Event_1074	Mutually Exclusive Exon	ENSG00000150722	PPP1R1C	1			48	54
JC	Event_1075	Mutually Exclusive Exon	ENSG00000243989	ACY1	1			824	567
JC	Event_1076	Mutually Exclusive Exon	ENSG00000136536	MARCH7	1			397	277
JC	Event_1077	Mutually Exclusive Exon	ENSG00000196141	SPATS2L	1			47	38
JC	Event_1078	Mutually Exclusive Exon	ENSG00000137478	FCHSD2	1			123	132
JC	Event_1079	Mutually Exclusive Exon	ENSG00000115677	HDLBP	1			72	72
JC	Event_108	Alternative 5' Splice Site	ENSG00000269313	MAGIX	1	Common to shRING1A.B and shRYBP	10	27	26
JC	Event_1080	Mutually Exclusive Exon	ENSG00000144504	ANKMY1	1			45	24
JC	Event_1081	Mutually Exclusive Exon	ENSG00000151116	UEVLD	1			90	85
JC	Event_1082	Mutually Exclusive Exon	ENSG00000198815	FOXJ3	1			82	59
JC	Event_1083	Mutually Exclusive Exon	ENSG00000077454	LRCH4	1			185	137
JC	Event_1084	Mutually Exclusive Exon	ENSG00000179818	PCBP1-AS1	2			23	29
JC	Event_1085	Mutually Exclusive Exon	ENSG00000169084	DHRSX	1			66	52
JC	Event_1086	Mutually Exclusive Exon	ENSG00000140543	DET1	1			68	73
JC	Event_1087	Mutually Exclusive Exon	ENSG00000132437	DDC	1			889	690
JC	Event_1088	Mutually Exclusive Exon	ENSG00000134668	SPOCD1	1			33	12
JC	Event_1089	Mutually Exclusive Exon	ENSG00000151090	THRB	1			273	319
JC	Event_109	Alternative 5' Splice Site	ENSG00000166436	TRIM66	1		26	25	13
JC	Event_1090	Mutually Exclusive Exon	ENSG00000133794	ARNTL	1			189	162
